Year_Type,Year,Employee_Identifier,Salaries,Overtime,Other_Salaries,Total_Salary,Retirement,Health/Dental,Other_Benefits,Total_Benefits,Total_Compensation
Fiscal,2013,32754,68146.03,0,624,68770.03,12522.94,12801.79,5559.87,30884.6,99654.63
Calendar,2015,30735,41108.4,362.72,0,41471.12,8915.8,8123.71,3406.05,20445.56,61916.68
Fiscal,2013,19971,75998,19894.79,17164.6,113057.39,15743.72,12801.79,7968.41,36513.92,149571.31
Calendar,2014,40630,104411.01,5063.51,11451.01,120925.53,24239.15,13054.94,446.39,37740.48,158666.01
Fiscal,2014,18657,60905.01,4227.47,3714.92,68847.4,13776.99,12464.61,5657.2,31898.8,100746.2
Fiscal,2013,21688,111493.85,1891.81,12970.27,126355.93,19890.02,12740.24,2147.03,34777.29,161133.22
Calendar,2015,26383,302.77,113.54,0,416.31,74.15,95.58,32.31,202.04,618.35
Fiscal,2016,16584,24005.1,0,0,24005.1,4467.34,3441.79,1933.82,9842.95,33848.05
Calendar,2013,29098,68019.91,0,0,68019.91,13365.86,9688.7,5121.82,28176.38,96196.29
Fiscal,2015,39516,107962.7,4155.77,15831,127949.47,26764.39,11611.75,9958.29,48334.43,176283.9
Fiscal,2016,222,31453.55,0,3469.21,34922.76,23.68,2219.7,1877.51,4120.89,39043.65
Fiscal,2014,17711,80110.46,0,1686.56,81797.02,0,0,1342.13,1342.13,83139.15
Calendar,2014,40914,142365.05,0,0,142365.05,30407.9,13054.94,18777.88,62240.72,204605.77
Calendar,2014,14979,118898.01,524.75,6385.96,125808.72,25470.41,13054.94,2094.59,40619.94,166428.66
Fiscal,2015,46252,9921.32,0,154.42,10075.74,0,1489.23,780.06,2269.29,12345.03
Fiscal,2016,143,89399.65,8951.34,16624.43,114975.42,17412.66,13068.8,9088.73,39570.19,154545.61
Fiscal,2013,36930,66111.3,25241.7,10378.2,101731.2,13281.93,12851.02,8088.2,34221.15,135952.35
Fiscal,2016,45898,86657.03,4331.85,1480,92468.88,16402.33,13068.8,7657.31,37128.44,129597.32
Fiscal,2016,25523,68598.87,23356.95,4146.24,96102.06,17546.72,13774.63,7484.25,38805.6,134907.66
Fiscal,2016,13374,71157.83,390.02,0,71547.85,13242.47,12983.08,5678.89,31904.44,103452.29
Calendar,2013,26783,10468.79,0,0,10468.79,0,4775.56,810.5,5586.06,16054.85
Fiscal,2014,25741,43719.17,980.71,2111.14,46811.02,9771.02,9380.81,3910.33,23062.16,69873.18
Fiscal,2013,47866,57739.08,11996.81,12222.32,81958.21,11979.84,12557.14,6511.88,31048.86,113007.07
Fiscal,2016,22405,87082.12,0,628.8,87710.92,16323.01,13068.8,6959.66,36351.47,124062.39
Calendar,2014,38467,82228.06,0,250,82478.06,18468.97,7782.75,6234.16,32485.88,114963.94
